기사님 (gi-sa-nim)	Respectful word for taxi driver. Example: 기사님, 홍대로 가주세요 = Driver, please go to Hongdae.
여기 (yeo-gi)	Here. Example: 여기서 세워주세요 = Please stop here.
천천히 (cheon-cheon-hi)	Slowly. Example: 천천히 가주세요 = Please go slowly.
한국말 (han-guk-mal)	Korean language. Example: 한국말 잘 몰라요 = I do not know Korean well.
죄송해요 (joe-song-hae-yo)	I'm sorry. Example: 죄송해요 = Sorry.
-주세요 (ju-se-yo)	Use for polite requests. Example: 가주세요 = Please go.
-(으)로 (eu-ro)	Use for destination or direction. Example: 홍대로 가주세요 = Please go to Hongdae.
-요 (yo)	Makes speech polite. Example: 죄송해요 = I am sorry.
기사님, 홍대로 가주세요 (gi-sa-nim, hong-dae-ro ga-ju-se-yo)	Driver, please go to Hongdae. Situation: Tell the taxi driver to go to Hongdae.
여기서 세워주세요 (yeo-gi-seo se-wo-ju-se-yo)	Please stop here. Situation: Tell the taxi to stop here.
천천히 가주세요 (cheon-cheon-hi ga-ju-se-yo)	Please go slowly. Situation: Ask the driver to go slowly.
기사님, 강남으로 가주세요 (gi-sa-nim, gang-nam-eu-ro ga-ju-se-yo)	Driver, please go to Gangnam. Situation: Tell the taxi to go to Gangnam.
잘 모르겠어요 (jal mo-reu-gess-eo-yo)	I am not sure. Use when: Someone asks something you do not understand.
한국말 잘 몰라요 (han-guk-mal jal mol-la-yo)	I do not know Korean well. Use when: Someone keeps talking Korean to you.
아 네 (ah ne)	Ah yes. Use when: Someone says anything and you want to respond warmly.
아이고 (ai-go)	Oh my. Use when: You are surprised or showing sympathy.
진짜요? (jin-jja-yo)	Really? Use when: Someone says something surprising.
감사합니다 (gam-sa-ham-ni-da)	Thank you. Use when: Leaving the taxi and thanking the driver.
