너무 (neo-mu)	So or very. Example: 너무 감사해요 = Thank you so much.
진짜 (jin-jja)	Really or for real. Example: 진짜요? = Really?
같이 (ga-chi)	Together. Example: 같이 찍어요 = Let's take a photo together.
아직 (a-jik)	Still or not yet. Example: 아직 많이 부족해요 = I still have a lot to learn.
열심히 (yeol-sim-hi)	Hard or diligently. Example: 열심히 할게요 = I will try hard.
-아요/어요 (a-yo/eo-yo)	Use for polite present speech. Example: 감사해요 = Thank you.
-ㄹ게요 (l-ge-yo)	Use for I will or a soft promise. Example: 열심히 할게요 = I will try hard.
헐! 대박! (heol dae-bak)	OMG! Amazing! Situation: A fan recognizes you on the street.
진짜요? 너무 감사해요 (jin-jja-yo neo-mu gam-sa-hae-yo)	Really? Thank you so much. Situation: A fan says they love your content.
아니에요, 부끄러워요 (a-ni-e-yo bu-kkeu-reo-wo-yo)	No no, I am shy. Situation: A fan compliments your appearance.
아직 많이 부족해요 (a-jik ma-ni bu-jo-kae-yo)	I still have a lot to learn. Situation: A fan says your Korean is great.
같이 찍어요 (ga-chi jji-geo-yo)	Let's take a photo together. Situation: You want to take a photo with a fan.
하나 둘 셋 (ha-na dul set)	One, two, three. Situation: Taking the selfie countdown.
에이, 아니에요 (e-i a-ni-e-yo)	Aww, no no. Situation: Someone flatters you too much.
아 진짜 너무 감사해요 (ah jin-jja neo-mu gam-sa-hae-yo)	Ah really, thank you so much. Use when: Overwhelmed by kindness.
헐 대박 진짜? (heol dae-bak jin-jja)	OMG wow really? Use when: Maximum surprise.
너무 예뻐요 (neo-mu ye-ppeo-yo)	You are so pretty. Use when: Complimenting a fan back.
정말 고마워요 (jeong-mal go-ma-wo-yo)	Thank you so much. Use when: Saying goodbye to a fan warmly.
부끄럽다 (bu-kkeu-reop-da)	To be shy or embarrassed. Example: 부끄러워요 = I am shy.
사진 (sa-jin)	Photo or picture. Example: 사진 찍어요 = Take a photo.
