아이스 아메리카노 (a-i-seu a-me-ri-ka-no)	Iced Americano. Example: 아이스 아메리카노 주세요 = Iced Americano, please.
아아 (a-a)	Short word for iced Americano. Example: 아아 하나 주세요 = One iced Americano, please.
하나 (ha-na)	One. Example: 하나 주세요 = One, please.
포장 (po-jang)	Takeout or to go. Example: 포장이요 = To go, please.
영수증 (yeong-su-jeung)	Receipt. Example: 영수증 주세요 = Receipt, please.
얼마 (eol-ma)	How much. Example: 이거 얼마예요? = How much is this?
혼자 (hon-ja)	Alone or by myself. Example: 혼자 볼게요 = I will look by myself.
-(이)요 (i-yo)	Use after a noun to answer or order politely. Example: 포장이요 = To go, please.
-ㄹ게요 (l-ge-yo)	Use for I will or a soft plan. Example: 먹고 갈게요 = I will eat here.
아아 하나 포장이요 (a-a ha-na po-jang-i-yo)	One iced Americano to go. Situation: Order iced Americano to go.
먹고 갈게요 (meok-go gal-ge-yo)	For here. Situation: Tell the barista you will stay.
이거 얼마예요? (i-geo eol-ma-ye-yo)	How much is this? Situation: Ask the price while shopping.
괜찮아요, 저 혼자 볼게요 (gwaen-chan-a-yo jeo hon-ja bol-ge-yo)	I am fine, I will look by myself. Situation: Shop staff asks if you need help.
괜찮아요 (gwaen-chan-a-yo)	I am fine, no thanks. Use when: Someone offers something you do not want.
없어요 (eop-seo-yo)	I do not have one. Use when: Asked about points card or membership.
포장이요 (po-jang-i-yo)	To go, please. Situation: Barista asks here or to go.
따뜻한 거 하나 주세요 (tta-tteut-han geo ha-na ju-se-yo)	One hot drink, please. Situation: Order a hot drink.
적립 (jeok-rip)	Points or rewards. Example: 포인트 적립 하시나요? = Do you collect points?
이거 주세요 (i-geo ju-se-yo)	This one, please. Situation: Point at an item and order.
카드 (ka-deu)	Card. Example: 카드 결제요 = Card payment, please.
