[Q] 물 필요해요? (mul pi-ryo-hae-yo?) / [A] 물 주세요 (mul ju-se-yo)	[Q] Do you need water? / [A] Water, please.
[Q] 어디로 가세요? (eo-di-ro ga-se-yo?) / [A] 홍대로 가주세요 (hong-dae-ro ga-ju-se-yo)	[Q] Where are you going? / [A] Please go to Hongdae.
[Q] 미안해요? (mi-an-hae-yo?) / [A] 죄송해요 (joe-song-hae-yo)	[Q] Are you sorry? / [A] I am sorry.
[Q] 감사해요? (gam-sa-hae-yo?) / [A] 네, 감사해요 (ne gam-sa-hae-yo)	[Q] Are you thankful? / [A] Yes, thank you.
[Q] 여기서 먹어요? (yeo-gi-seo meo-geo-yo?) / [A] 포장이요 (po-jang-i-yo)	[Q] Are you eating here? / [A] To go, please.
[Q] 친구예요? (chin-gu-ye-yo?) / [A] 찐이야 (jjin-i-ya)	[Q] Is it a friend? / [A] It is real.
[Q] 여기서 먹어요? (yeo-gi-seo meo-geo-yo?) / [A] 먹고 갈게요 (meok-go gal-ge-yo)	[Q] Are you eating here? / [A] I will eat here.
[Q] 먹어요? 가요? (meo-geo-yo ga-yo?) / [A] 먹고 갈게요 (meok-go gal-ge-yo)	[Q] Are you eating and going? / [A] I will eat and go.
[Q] 어디에서 만나요? (eo-di-e-seo man-na-yo?) / [A] 카페에서 만나요 (ka-pe-e-seo man-na-yo)	[Q] Where shall we meet? / [A] Let's meet at the cafe.
[Q] 알아요? (a-ra-yo?) / [A] 모르겠어요 (mo-reu-gess-eo-yo)	[Q] Do you know? / [A] I am not sure.
[Q] 돼요? (dwae-yo?) / [A] 안 돼요 (an dwae-yo)	[Q] Is it okay? / [A] It is not okay.
[Q] 어려워요? (eo-ryeo-wo-yo?) / [A] 어렵지 않아요 (eo-ryeop-ji a-na-yo)	[Q] Is it hard? / [A] It is not hard.
[Q] 감사해요? (gam-sa-hae-yo?) / [A] 감사합니다 (gam-sa-ham-ni-da)	[Q] Are you thankful? / [A] Thank you formally.
[Q] 어디 가고 싶어요? (eo-di ga-go si-peo-yo?) / [A] 홍대 가고 싶어요 (hong-dae ga-go si-peo-yo)	[Q] Where do you want to go? / [A] I want to go to Hongdae.
[Q] 알려줄래요? (al-lyeo-jul-lae-yo?) / [A] 알려줘 (al-lyeo-jwo)	[Q] Can you tell me? / [A] Tell me.
